INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:0.6288471221923828	disk to mem:0.1765906810760498	normalize:0.16067838668823242	numpy to tensor:0.19634366035461426
INFO:root:load data:0.6929190158843994	disk to mem:0.2160966396331787	normalize:0.1969902515411377	numpy to tensor:0.18803024291992188
INFO:root:load data:0.6145617961883545	disk to mem:0.1854248046875	normalize:0.17262935638427734	numpy to tensor:0.17840361595153809
INFO:root:load data:0.6311922073364258	disk to mem:0.19191503524780273	normalize:0.17238426208496094	numpy to tensor:0.1837010383605957
INFO:root:load data:0.7408895492553711	disk to mem:0.19383692741394043	normalize:0.1896045207977295	numpy to tensor:0.2608029842376709
INFO:root:load data:0.6993265151977539	disk to mem:0.2023615837097168	normalize:0.18436312675476074	numpy to tensor:0.22040367126464844
INFO:root:load data:0.6282918453216553	disk to mem:0.20038652420043945	normalize:0.17335176467895508	numpy to tensor:0.18341422080993652
INFO:root:load data:0.5320224761962891	disk to mem:0.1593930721282959	normalize:0.13976097106933594	numpy to tensor:0.16780972480773926
INFO:root:load data:0.5547959804534912	disk to mem:0.1682300567626953	normalize:0.14147591590881348	numpy to tensor:0.17146778106689453
INFO:root:load data:0.6131327152252197	disk to mem:0.18866777420043945	normalize:0.16503071784973145	numpy to tensor:0.18419313430786133
INFO:root:load data:0.6536035537719727	disk to mem:0.2050187587738037	normalize:0.18198561668395996	numpy to tensor:0.18985295295715332
INFO:root:load data:0.5409741401672363	disk to mem:0.16065287590026855	normalize:0.14427971839904785	numpy to tensor:0.1683650016784668
INFO:root:load data:0.6466329097747803	disk to mem:0.20083236694335938	normalize:0.17615032196044922	numpy to tensor:0.18922853469848633
INFO:root:load data:2.578871726989746	disk to mem:2.058889150619507	normalize:0.19369769096374512	numpy to tensor:0.21676254272460938
INFO:root:load data:9.840386629104614	disk to mem:9.223296165466309	normalize:0.2864804267883301	numpy to tensor:0.20190644264221191
INFO:root:load data:7.011361122131348	disk to mem:6.402276515960693	normalize:0.2974815368652344	numpy to tensor:0.200239896774292
INFO:root:load data:3.4200868606567383	disk to mem:2.80903959274292	normalize:0.2657034397125244	numpy to tensor:0.22937607765197754
INFO:root:load data:6.440442800521851	disk to mem:5.76764988899231	normalize:0.3040883541107178	numpy to tensor:0.23932552337646484
INFO:root:load data:4.793419361114502	disk to mem:4.182090997695923	normalize:0.305173397064209	numpy to tensor:0.20078802108764648
INFO:root:load data:9.92376708984375	disk to mem:9.278879642486572	normalize:0.30447959899902344	numpy to tensor:0.22638225555419922
INFO:root:load data:10.753275394439697	disk to mem:10.096309423446655	normalize:0.30753135681152344	numpy to tensor:0.23320770263671875
INFO:root:load data:5.211668252944946	disk to mem:4.581676721572876	normalize:0.29996418952941895	numpy to tensor:0.2152853012084961
INFO:root:load data:6.21972393989563	disk to mem:5.606257200241089	normalize:0.26796793937683105	numpy to tensor:0.21064281463623047
INFO:root:load data:5.876265048980713	disk to mem:5.213110446929932	normalize:0.2927849292755127	numpy to tensor:0.23239684104919434
INFO:root:load data:7.111563682556152	disk to mem:6.514821290969849	normalize:0.30048656463623047	numpy to tensor:0.2086622714996338
INFO:root:load data:7.365764141082764	disk to mem:6.739532947540283	normalize:0.28618907928466797	numpy to tensor:0.22466421127319336
INFO:root:load data:9.047771215438843	disk to mem:8.414793729782104	normalize:0.29117274284362793	numpy to tensor:0.21698975563049316
INFO:root:load data:4.1523332595825195	disk to mem:3.5540518760681152	normalize:0.287492036819458	numpy to tensor:0.1835939884185791
INFO:root:load data:5.511275291442871	disk to mem:4.891587495803833	normalize:0.28917407989501953	numpy to tensor:0.22902631759643555
INFO:root:load data:7.774631977081299	disk to mem:7.14562201499939	normalize:0.29265809059143066	numpy to tensor:0.2222881317138672
INFO:root:load data:8.689945936203003	disk to mem:8.065057039260864	normalize:0.2924199104309082	numpy to tensor:0.21203899383544922
INFO:root:load data:7.0960166454315186	disk to mem:6.488436460494995	normalize:0.27675795555114746	numpy to tensor:0.22864365577697754
INFO:root:load data:7.225968837738037	disk to mem:6.588340520858765	normalize:0.289766788482666	numpy to tensor:0.21693205833435059
INFO:root:load data:8.446810722351074	disk to mem:7.7918524742126465	normalize:0.3130621910095215	numpy to tensor:0.21396136283874512
INFO:root:load data:9.953198194503784	disk to mem:9.313105344772339	normalize:0.3076446056365967	numpy to tensor:0.2215273380279541
INFO:root:load data:8.299771785736084	disk to mem:7.6538612842559814	normalize:0.3139619827270508	numpy to tensor:0.22026777267456055
INFO:root:load data:5.8949174880981445	disk to mem:5.281933546066284	normalize:0.28774404525756836	numpy to tensor:0.21469402313232422
INFO:root:load data:10.586682319641113	disk to mem:9.922252416610718	normalize:0.31452512741088867	numpy to tensor:0.21468400955200195
INFO:root:load data:4.61566948890686	disk to mem:4.00624680519104	normalize:0.27866697311401367	numpy to tensor:0.21549773216247559
INFO:root:load data:6.023737907409668	disk to mem:5.3868677616119385	normalize:0.29964351654052734	numpy to tensor:0.22098398208618164
INFO:root:load data:8.422148942947388	disk to mem:7.739722967147827	normalize:0.313373327255249	numpy to tensor:0.22524070739746094
INFO:root:load data:7.589130878448486	disk to mem:6.930258750915527	normalize:0.3123300075531006	numpy to tensor:0.23034882545471191
INFO:root:load data:7.542184114456177	disk to mem:6.953410625457764	normalize:0.29004859924316406	numpy to tensor:0.2131214141845703
INFO:root:load data:8.4887056350708	disk to mem:7.879935026168823	normalize:0.2971069812774658	numpy to tensor:0.21602487564086914
INFO:root:load data:9.387065410614014	disk to mem:8.780441284179688	normalize:0.2994976043701172	numpy to tensor:0.19927573204040527
INFO:root:load data:11.671565532684326	disk to mem:11.031015634536743	normalize:0.30500245094299316	numpy to tensor:0.22532892227172852
INFO:root:load data:4.750700235366821	disk to mem:4.142709255218506	normalize:0.2899751663208008	numpy to tensor:0.21013331413269043
INFO:root:load data:6.914210796356201	disk to mem:6.320957899093628	normalize:0.29238462448120117	numpy to tensor:0.1971273422241211
INFO:root:load data:6.241030216217041	disk to mem:5.616193771362305	normalize:0.30309510231018066	numpy to tensor:0.21566271781921387
INFO:root:load data:9.902901411056519	disk to mem:9.274806022644043	normalize:0.29848432540893555	numpy to tensor:0.20088887214660645
INFO:root:load data:9.098165035247803	disk to mem:8.45514178276062	normalize:0.29667186737060547	numpy to tensor:0.23163604736328125
INFO:root:load data:4.757551670074463	disk to mem:4.128729581832886	normalize:0.301098108291626	numpy to tensor:0.21152806282043457
INFO:root:load data:7.845222473144531	disk to mem:7.230546712875366	normalize:0.3161191940307617	numpy to tensor:0.19522953033447266
INFO:root:load data:6.75492787361145	disk to mem:6.10724949836731	normalize:0.2962503433227539	numpy to tensor:0.2357327938079834
INFO:root:load data:10.645593881607056	disk to mem:10.032957315444946	normalize:0.3007242679595947	numpy to tensor:0.2012770175933838
INFO:root:load data:8.076879978179932	disk to mem:7.479885101318359	normalize:0.2965118885040283	numpy to tensor:0.19064688682556152
INFO:root:load data:9.210451602935791	disk to mem:8.61910343170166	normalize:0.2869999408721924	numpy to tensor:0.2035226821899414
INFO:root:load data:7.406382322311401	disk to mem:6.803134202957153	normalize:0.29344940185546875	numpy to tensor:0.21146607398986816
INFO:root:load data:8.575533628463745	disk to mem:7.960408687591553	normalize:0.292949914932251	numpy to tensor:0.203460693359375
INFO:root:load data:5.797046661376953	disk to mem:5.199501037597656	normalize:0.2749464511871338	numpy to tensor:0.19497919082641602
